Date,GameIndex,Team,HomeAway,Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
2019-03-22,1,LA Clippers,Home,Shai Gilgeous-Alexander,34:32,5,11,.45,1,1,1.00,5,5,1.00,1,1,2,5,2,0,1,2,16,+4
2019-03-22,1,LA Clippers,Home,Danilo Gallinari,32:39,11,15,.73,1,4,.25,4,4,1.00,0,3,3,3,1,0,1,1,27,+10
2019-03-22,1,LA Clippers,Home,Patrick Beverley,32:24,3,9,.33,2,7,.28,1,2,.50,1,3,4,5,0,0,1,4,9,+9
2019-03-22,1,LA Clippers,Home,Landry Shamet,24:37,4,7,.57,2,5,.40,3,4,.75,1,6,7,1,0,0,0,2,13,+12
2019-03-22,1,LA Clippers,Home,Ivica Zubac,17:27,2,2,1.00,0,0,,2,2,1.00,1,7,8,2,0,3,0,0,6,+2
2019-03-22,1,LA Clippers,Home,Lou Williams,28:52,7,16,.43,0,4,.00,1,1,1.00,1,1,2,6,0,0,2,1,15,+4
2019-03-22,1,LA Clippers,Home,Montrezl Harrell,28:35,5,8,.62,0,0,,4,5,.80,1,4,5,1,2,3,2,3,14,-5
2019-03-22,1,LA Clippers,Home,JaMychal Green,17:15,4,7,.57,0,2,.00,0,0,,1,8,9,1,0,0,3,1,8,-4
2019-03-22,1,LA Clippers,Home,Garrett Temple,13:32,1,4,.25,0,1,.00,0,0,,0,2,2,0,1,0,0,1,2,-9
2019-03-22,1,LA Clippers,Home,Wilson Chandler,9:38,0,3,.00,0,2,.00,0,0,,0,1,1,0,0,0,1,1,0,-8
2019-03-22,1,LA Clippers,Home,Sindarius Thornwell,0:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
2019-03-22,1,Cleveland,Away,Cedi Osman,34:38,2,7,.28,2,3,.66,5,6,.83,0,2,2,3,0,0,2,5,11,-1
2019-03-22,1,Cleveland,Away,Kevin Love,32:44,8,14,.57,4,7,.57,2,3,.66,0,8,8,1,0,0,2,3,22,-7
2019-03-22,1,Cleveland,Away,Collin Sexton,30:33,9,15,.60,2,4,.50,0,0,,0,4,4,1,0,0,2,5,20,-11
2019-03-22,1,Cleveland,Away,Brandon Knight,19:51,3,9,.33,1,5,.20,0,0,,0,1,1,3,1,0,1,0,7,+3
2019-03-22,1,Cleveland,Away,Ante Žižić,13:55,0,2,.00,0,0,,0,0,,0,3,3,2,0,1,2,2,0,+1
2019-03-22,1,Cleveland,Away,Jordan Clarkson,33:22,9,19,.47,2,10,.20,0,0,,2,3,5,2,1,0,3,0,20,+5
2019-03-22,1,Cleveland,Away,Larry Nance,24:15,6,9,.66,1,2,.50,1,2,.50,5,4,9,1,3,0,0,2,14,+11
2019-03-22,1,Cleveland,Away,Tristan Thompson,19:11,2,8,.25,0,0,,0,0,,1,5,6,1,0,0,1,2,4,-3
2019-03-22,1,Cleveland,Away,David Nwaba,18:55,3,4,.75,0,0,,2,2,1.00,0,2,2,0,2,1,0,2,8,-4
2019-03-22,1,Cleveland,Away,Nik Stauskas,6:51,0,1,.00,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
2019-03-22,1,Cleveland,Away,Marquese Chriss,5:45,1,2,.50,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-5
2019-03-22,2,San Antonio,Home,Bryn Forbes,36:13,8,10,.80,3,3,1.00,1,1,1.00,0,5,5,2,0,0,2,1,20,-10
2019-03-22,2,San Antonio,Home,LaMarcus Aldridge,33:20,5,13,.38,0,0,,0,0,,2,2,4,4,0,5,1,2,10,-11
2019-03-22,2,San Antonio,Home,DeMar DeRozan,32:39,7,19,.36,0,0,,2,2,1.00,1,7,8,8,1,0,2,5,16,-12
2019-03-22,2,San Antonio,Home,Derrick White,32:29,5,12,.41,1,4,.25,7,7,1.00,2,6,8,3,2,0,1,1,18,-3
2019-03-22,2,San Antonio,Home,Rudy Gay,21:28,3,4,.75,0,1,.00,1,2,.50,0,9,9,0,1,0,3,5,7,-4
2019-03-22,2,San Antonio,Home,Dāvis Bertāns,26:32,1,10,.10,1,10,.10,0,0,,0,3,3,4,0,1,0,5,3,-2
2019-03-22,2,San Antonio,Home,Marco Belinelli,20:24,4,7,.57,0,2,.00,3,3,1.00,0,2,2,2,0,0,1,1,11,+3
2019-03-22,2,San Antonio,Home,Patty Mills,15:31,3,7,.42,2,4,.50,0,0,,0,0,0,3,0,0,0,1,8,-3
2019-03-22,2,San Antonio,Home,Jakob Pöltl,14:40,4,5,.80,0,0,,0,0,,4,4,8,0,1,0,1,1,8,+5
2019-03-22,2,San Antonio,Home,Lonnie Walker,6:44,1,3,.33,0,0,,2,2,1.00,0,1,1,1,1,1,0,1,4,+7
2019-03-22,2,Houston,Away,Eric Gordon,38:09,4,13,.30,3,9,.33,1,1,1.00,1,1,2,0,0,0,1,4,12,+4
2019-03-22,2,Houston,Away,P.J. Tucker,37:11,0,3,.00,0,3,.00,0,0,,0,10,10,2,0,2,1,1,0,+12
2019-03-22,2,Houston,Away,James Harden,36:40,19,34,.55,9,13,.69,14,17,.82,2,5,7,1,3,0,3,3,61,+18
2019-03-22,2,Houston,Away,Chris Paul,34:12,7,15,.46,0,3,.00,4,4,1.00,0,3,3,5,1,1,2,2,18,-4
2019-03-22,2,Houston,Away,Clint Capela,32:27,3,8,.37,0,0,,1,1,1.00,2,14,16,4,0,1,1,2,7,+5
2019-03-22,2,Houston,Away,Danuel House,19:09,0,4,.00,0,4,.00,1,2,.50,0,5,5,0,1,0,1,2,1,-5
